"a";"b";"c";"d"
"117";"155";"113";"133"
"117";"155";"113";"132"
"117";"155";"113";"131"
"117";"155";"119";"133"
"117";"155";"119";"132"
"117";"155";"119";"131"
"117";"155";"110";"133"
"117";"155";"110";"132"
"117";"155";"110";"131"
"117";"115";"113";"133"
"117";"115";"113";"132"
"117";"115";"113";"131"
"117";"115";"119";"133"
"117";"115";"119";"132"
"117";"115";"119";"131"
"117";"115";"110";"133"
"117";"115";"110";"132"
"117";"115";"110";"131"
"117";"118";"113";"133"
"117";"118";"113";"132"
"117";"118";"113";"131"
"117";"118";"119";"133"
"117";"118";"119";"132"
"117";"118";"119";"131"
"117";"118";"110";"133"
"117";"118";"110";"132"
"117";"118";"110";"131"
"114";"155";"113";"133"
"114";"155";"113";"132"
"114";"155";"113";"131"
"114";"155";"119";"133"
"114";"155";"119";"132"
"114";"155";"119";"131"
"114";"155";"110";"133"
"114";"155";"110";"132"
"114";"155";"110";"131"
"114";"115";"113";"133"
"114";"115";"113";"132"
"114";"115";"113";"131"
"114";"115";"119";"133"
"114";"115";"119";"132"
"114";"115";"119";"131"
"114";"115";"110";"133"
"114";"115";"110";"132"
"114";"115";"110";"131"
"114";"118";"113";"133"
"114";"118";"113";"132"
"114";"118";"113";"131"
"114";"118";"119";"133"
"114";"118";"119";"132"
"114";"118";"119";"131"
"114";"118";"110";"133"
"114";"118";"110";"132"
"114";"118";"110";"131"
"108";"155";"113";"133"
"108";"155";"113";"132"
"108";"155";"113";"131"
"108";"155";"119";"133"
"108";"155";"119";"132"
"108";"155";"119";"131"
"108";"155";"110";"133"
"108";"155";"110";"132"
"108";"155";"110";"131"
"108";"115";"113";"133"
"108";"115";"113";"132"
"108";"115";"113";"131"
"108";"115";"119";"133"
"108";"115";"119";"132"
"108";"115";"119";"131"
"108";"115";"110";"133"
"108";"115";"110";"132"
"108";"115";"110";"131"
"108";"118";"113";"133"
"108";"118";"113";"132"
"108";"118";"113";"131"
"108";"118";"119";"133"
"108";"118";"119";"132"
"108";"118";"119";"131"
"108";"118";"110";"133"
"108";"118";"110";"132"
"108";"118";"110";"131"
